Id,ComponentName,Domain,Operating System,Language,Functionality,preCondition,postCondition
296,ProductFareCalculator,Ecommerce,Windows,Go,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
297,ProductList,Ecommerce,Windows,Go,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
298,ProfilePage,Ecommerce,Windows,Go,"profile page with details like name,username,email,address and phone number",x,x
299,Register,x,Windows,Go,"registration page with details like email , password and confirm password",x,userRegistered
300,Register1,x,Windows,Go,"registration page with details like name,email,username,password and confirm password",x,userRegistered
301,Register2,x,Windows,Go,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
302,RoomSelector,Hotel Booking,Windows,Go,room type and number of guests dropdown ,x,x
303,SearchBook,Library Management,Windows,Go,search box for entering book name,x,x
304,SearchProduct,Ecommerce,Windows,Go,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
305,SearchProductUI,Ecommerce,Windows,Go,search box for entering product name to search,loggedIn,productSearchTerm
306,ThankYouPage,Ecommerce,Windows,Go,thank you page for the username,x,x
307,TrainBookingConfirmed,Railway Booking,Windows,Go,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
308,TrainDisplayUI,Railway Booking,Windows,Go,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
309,BusBookingConfirmed,Bus Booking,Windows,Go,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
310,BusDisplayUI,Bus Booking,Windows,Go,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
311,VerificationEmailPage,Ecommerce,Windows,Go,verification email sent page,x,x
312,VideoList,Online Video,Windows,Go,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
313,YoutubeVideoPlay,Online Video,Windows,Go,youtube video player with video id ,videoId,x
314,AddBookUI,Library Management,Linux,Java,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
315,AddBookUI,Supply Chain,Linux,Java,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
316,AgeDisplayUI,Educational,Linux,Java,display the age in years,age:Integer,x
317,AuthorNameAndGenre,Library Management,Linux,Java,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
318,AuthorNameAndGenre,Supply Chain,Linux,Java,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
319,BerthAvailabilty,Railway Booking,Linux,Java,"check for available berths using the values like train number ,DOJ, from and to city",x,x
320,BookAddedSuccessfullyDialog,Library Management,Linux,Java,book added sucessfully dialog,bookAddedSuccessful,x
321,BookAddedSuccessfullyDialog,Supply Chain,Linux,Java,book added sucessfully dialog,bookAddedSuccessful,x
322,BookList,Library Management,Linux,Java,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
323,BookList,Supply Chain,Linux,Java,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
324,BookRentingCost,Library Management,Linux,Java,book renting cost with number of days,bookRentCost,rentingCost:Double
325,CalculateAge,Educational,Linux,Java,calculate age using dob with date format dd-mm-yyyy,"day:String,month:String,year:String",age:Integer
326,CalculateAgeUI,Educational,Linux,Java,date of birth input ui using date picker,x,x
327,CityNameDropdown,Hotel Booking,Linux,Java,city name dropdown,isLoggedIn,cityName:String
328,CityNameWithState,Hotel Booking,Linux,Java,city name dropdown with state,x,x
329,ClassTypeAndQuota,Railway Booking,Linux,Java,class type dropdown and quota type dropdown,x,x
330,ClassTypeAndQuota,Bus Booking,Linux,Java,class type dropdown and quota type dropdown,x,x
331,DateOfJourney,Bus Booking,Linux,Java,date of journey input,x,x
332,DateOfJourney,Railway Booking,Linux,Java,date of journey input,x,x
333,EnterDateBooking,Hotel Booking,Linux,Java,date of booking input,baseRentCost,"day:String,month:String,year:String"
334,EnterDateUI,Educational,Linux,Java,DOB input date picker with date format dd-mm-yyyy,x,"day:String,month:String,year:String"
335,FromCityToCity,Bus Booking,Linux,Java,From city dropdown and to city dropdown select,x,x
336,FromCityToCity,Railway Booking,Linux,Java,From city dropdown and to city dropdown select,x,x
337,FromCityToCityDOJ,Flight Booking,Linux,Java,From city dropdown and to city dropdown and date of journey select,x,x
338,FromDateToDate,Hotel Booking,Linux,Java,from date and to date input,x,x
339,GetFlights,Flight Booking,Linux,Java,"get flights button to search for flights using from city name , to city name and date of journey",x,x
340,GetTrains,Railway Booking,Linux,Java,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
341,GSTCalculator,x,Linux,Java,gst calculate on amount or fare,rentingCost:Double,"amount:Double,gstUpdated:Boolean"
342,HotelList,Hotel Booking,Linux,Java,"hotels list display, select hotel to get base cost",ids,baseRentCost:Double
343,HotelRentCalculator,Hotel Booking,Linux,Java,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
344,HotelSearch,Hotel Booking,Linux,Java,search hotels using city name,cityName,ids:String[]
345,LibraryHomeUI,Library Management,Linux,Java,homepage for library with options to search and add book,isLoggedIn,"addBook:Boolean,searchBook:Boolean"
346,LoginError,x,Linux,Java,login error page,"loginDone,isLoggedIn",x
347,LoginUI,x,Linux,Java,login using username password with register option,x,"loginDone:Boolean,isLoggedIn:Boolean,register:Boolean"
348,LogoutBook,Hotel Booking,Linux,Java,logout or book another hotel,paymentDone,isLoggedIn:Boolean
349,PassengerDetails,Railway Booking,Linux,Java,"add details of passenger with input of name , age , gender  , phone number ",x,x
350,PassengerDetails,Bus Booking,Linux,Java,"add details of passenger with input of name , age , gender  , phone number ",x,x
351,PaymentFailedDialog,x,Linux,Java,failed payment dialog,paymentFailed,x
352,PaymentSuccessfullDialog,x,Linux,Java,successful payment dialog,paymentSuccessful,x
353,PaymentUI,x,Linux,Java,payment  page with option like upi debit card and credit card,"amount,gstUpdated","paymentDone:Boolean,paymentSuccessful:Boolean,paymentFailed:Boolean"
354,RegisterUI,x,Linux,Java,register page using username password and confirm password,register,isRegistered:Boolean
355,RoomRentCalculator,Hotel Booking,Linux,Java,calculate fare using room type and number of person,"baseRentCost,roomTypeS,numGuests",rentingCost:Double
356,RoomType,Hotel Booking,Linux,Java,room type and number of guests dropdown ,baseRentCost,"numGuests:Integer,roomTypeS:String"
357,SearchBookUI,Library Management,Linux,Java,search box to enter book name,searchBook,searchString:String
358,TrainBookingConfirmed,Railway Booking,Linux,Java,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
359,TrainDisplayUI,Railway Booking,Linux,Java,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
360,BusBookingConfirmed,Bus Booking,Linux,Java,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
361,BusDisplayUI,Bus Booking,Linux,Java,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
362,VideoList,Online Video,Linux,Java,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
363,YoutubeVideoPlay,Online Video,Linux,Java,youtube video player with video id ,videoId,x
364,AddBookUI,Library Management,Linux,JavaFX,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
365,AddBookUI,Supply Chain,Linux,JavaFX,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
366,AgeDisplayUI,Educational,Linux,JavaFX,display the age in years,age:Integer,x
367,AuthorNameAndGenre,Library Management,Linux,JavaFX,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
368,AuthorNameAndGenre,Supply Chain,Linux,JavaFX,dropdown for book genre and author name,searchString,"authorName:String,genre:String"
369,BerthAvailabilty,Railway Booking,Linux,JavaFX,"check for available berths using the values like train number ,DOJ, from and to city",x,x
370,BookAddedSuccessfullyDialog,Library Management,Linux,JavaFX,book added sucessfully dialog,bookAddedSuccessful,x
371,BookAddedSuccessfullyDialog,Supply Chain,Linux,JavaFX,book added sucessfully dialog,bookAddedSuccessful,x
372,BookList,Library Management,Linux,JavaFX,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
373,BookList,Supply Chain,Linux,JavaFX,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
374,BookRentingCost,Library Management,Linux,JavaFX,book renting cost with number of days,bookRentCost,rentingCost:Double
375,CalculateAge,Educational,Linux,JavaFX,calculate age using dob with date format dd-mm-yyyy,"day:String,month:String,year:String",age:Integer
376,CalculateAgeUI,Educational,Linux,JavaFX,date of birth input ui using date picker,x,x
377,CityNameDropdown,Hotel Booking,Linux,JavaFX,city name dropdown,isLoggedIn,cityName:String
378,CityNameWithState,Hotel Booking,Linux,JavaFX,city name dropdown with state,x,x
379,ClassTypeAndQuota,Railway Booking,Linux,JavaFX,class type dropdown and quota type dropdown,x,x
380,ClassTypeAndQuota,Bus Booking,Linux,JavaFX,class type dropdown and quota type dropdown,x,x
381,DateOfJourney,Bus Booking,Linux,JavaFX,date of journey input,x,x
382,DateOfJourney,Railway Booking,Linux,JavaFX,date of journey input,x,x
383,EnterDateBooking,Hotel Booking,Linux,JavaFX,date of booking input,baseRentCost,"day:String,month:String,year:String"
384,EnterDateUI,Educational,Linux,JavaFX,DOB input date picker with date format dd-mm-yyyy,x,"day:String,month:String,year:String"
385,FromCityToCity,Bus Booking,Linux,JavaFX,From city dropdown and to city dropdown select,x,x
386,FromCityToCity,Railway Booking,Linux,JavaFX,From city dropdown and to city dropdown select,x,x
387,FromCityToCityDOJ,Flight Booking,Linux,JavaFX,From city dropdown and to city dropdown and date of journey select,x,x
